index	identifier	file	clip	scale	sum_stat	description
33	ENCFF769VLM	data/encode_rna/ENCFF769VLM.bigWig	768	0.3	sum_sqrt	RNA:K562
34	ENCFF945UHI	data/encode_rna/ENCFF945UHI.bigWig	768	0.3	sum_sqrt	RNA:liver tissue female child (6 years) and with nonobstructive coronary artery disease; liver tissue male adult (32 years)
35	ENCFF775XPO	data/encode_rna/ENCFF775XPO.bigWig	768	0.3	sum_sqrt	RNA:urinary bladder tissue female embryo (20 weeks) and female embryo (24 weeks)
36	ENCFF638TDD	data/encode_rna/ENCFF638TDD.bigWig	768	0.3	sum_sqrt	RNA:cerebellum tissue female embryo (19 weeks) and female embryo (37 weeks)
37	ENCFF355IUO	data/encode_rna/ENCFF355IUO.bigWig	768	0.3	sum_sqrt	RNA:diencephalon tissue female embryo (20 weeks) and male embryo (22 weeks)
38	ENCFF217HQN	data/encode_rna/ENCFF217HQN.bigWig	768	0.3	sum_sqrt	RNA:frontal cortex tissue female embryo (20 weeks) and male embryo (22 weeks)
39	ENCFF454SXU	data/encode_rna/ENCFF454SXU.bigWig	768	0.3	sum_sqrt	RNA:heart tissue female embryo (19 weeks) and female embryo (28 weeks)
40	ENCFF367PUX	data/encode_rna/ENCFF367PUX.bigWig	768	0.3	sum_sqrt	RNA:metanephros tissue female embryo (20 weeks) and female embryo (24 weeks)
41	ENCFF630VID	data/encode_rna/ENCFF630VID.bigWig	768	0.3	sum_sqrt	RNA:liver tissue female embryo (20 weeks) and male embryo (22 weeks)
42	ENCFF892OBT	data/encode_rna/ENCFF892OBT.bigWig	768	0.3	sum_sqrt	RNA:lung tissue female embryo (20 weeks) and female embryo (24 weeks)
43	ENCFF537TSF	data/encode_rna/ENCFF537TSF.bigWig	768	0.3	sum_sqrt	RNA:occipital lobe tissue female embryo (20 weeks) and male embryo (22 weeks)
44	ENCFF470OAY	data/encode_rna/ENCFF470OAY.bigWig	768	0.3	sum_sqrt	RNA:parietal lobe tissue female embryo (24 weeks) and male embryo (22 weeks)
45	ENCFF285OHV	data/encode_rna/ENCFF285OHV.bigWig	768	0.3	sum_sqrt	RNA:skeletal muscle tissue tissue female embryo (19 weeks) and male embryo (22 weeks)
46	ENCFF198TLM	data/encode_rna/ENCFF198TLM.bigWig	768	0.3	sum_sqrt	RNA:skin of body tissue female embryo (24 weeks) and male embryo (22 weeks)
47	ENCFF768YRQ	data/encode_rna/ENCFF768YRQ.bigWig	768	0.3	sum_sqrt	RNA:spinal cord tissue female embryo (24 weeks) and male embryo (22 weeks)
48	ENCFF718MVN	data/encode_rna/ENCFF718MVN.bigWig	768	0.3	sum_sqrt	RNA:stomach tissue female embryo (40 weeks) and male embryo (36 weeks)
49	ENCFF709SZT	data/encode_rna/ENCFF709SZT.bigWig	768	0.3	sum_sqrt	RNA:temporal lobe tissue female embryo (20 weeks) and female embryo (24 weeks)
50	ENCFF844XCX	data/encode_rna/ENCFF844XCX.bigWig	768	0.3	sum_sqrt	RNA:thyroid gland tissue female embryo (37 weeks) and female embryo (40 weeks)
51	ENCFF175KXC	data/encode_rna/ENCFF175KXC.bigWig	768	0.3	sum_sqrt	RNA:tongue tissue female embryo (20 weeks) and female embryo (24 weeks)
52	ENCFF604YPC	data/encode_rna/ENCFF604YPC.bigWig	768	0.3	sum_sqrt	RNA:umbilical cord tissue male embryo (20 weeks) and male embryo (31 weeks)
53	ENCFF592ZIP	data/encode_rna/ENCFF592ZIP.bigWig	768	0.3	sum_sqrt	RNA:uterus tissue female embryo (24 weeks) and female embryo (28 weeks)
54	ENCFF676EVQ	data/encode_rna/ENCFF676EVQ.bigWig	768	0.3	sum_sqrt	RNA:camera-type eye tissue female embryo (20 weeks) and female embryo (24 weeks)
55	ENCFF018EZY	data/encode_rna/ENCFF018EZY.bigWig	768	0.3	sum_sqrt	RNA:heart tissue male adult (34 years)
56	ENCFF549SVZ	data/encode_rna/ENCFF549SVZ.bigWig	768	0.3	sum_sqrt	RNA:Jurkat, Clone E6-1
57	ENCFF263CML	data/encode_rna/ENCFF263CML.bigWig	768	0.3	sum_sqrt	RNA:A549 treated with 0.1 nM dexamethasone for 1 hour
58	ENCFF882JUS	data/encode_rna/ENCFF882JUS.bigWig	768	0.3	sum_sqrt	RNA:Ishikawa treated with 100 nM bisphenol A for 4 hours
59	ENCFF188RIO	data/encode_rna/ENCFF188RIO.bigWig	768	0.3	sum_sqrt	RNA:Ishikawa treated with 0.02% dimethyl sulfoxide for 4 hours
60	ENCFF165CZI	data/encode_rna/ENCFF165CZI.bigWig	768	0.3	sum_sqrt	RNA:Ishikawa treated with 10 nM estradiol for 4 hours
61	ENCFF755HLM	data/encode_rna/ENCFF755HLM.bigWig	768	0.3	sum_sqrt	RNA:Ishikawa treated with 100 nM genistein for 4 hours
62	ENCFF353TRR	data/encode_rna/ENCFF353TRR.bigWig	768	0.3	sum_sqrt	RNA:T47D treated with 100 nM bisphenol A for 4 hours
63	ENCFF287DGM	data/encode_rna/ENCFF287DGM.bigWig	768	0.3	sum_sqrt	RNA:T47D treated with 0.02% dimethyl sulfoxide for 4 hours
64	ENCFF660UBK	data/encode_rna/ENCFF660UBK.bigWig	768	0.3	sum_sqrt	RNA:T47D treated with 10 nM estradiol for 4 hours
65	ENCFF353MIF	data/encode_rna/ENCFF353MIF.bigWig	768	0.3	sum_sqrt	RNA:T47D treated with 100 nM genistein for 4 hours
66	ENCFF808QXI	data/encode_rna/ENCFF808QXI.bigWig	768	0.3	sum_sqrt	RNA:A549 treated with 1 nM dexamethasone for 1 hour
67	ENCFF181YIA	data/encode_rna/ENCFF181YIA.bigWig	768	0.3	sum_sqrt	RNA:A549 treated with 0.5 nM dexamethasone for 1 hour
68	ENCFF409JEW	data/encode_rna/ENCFF409JEW.bigWig	768	0.3	sum_sqrt	RNA:A549 treated with 5 nM dexamethasone for 1 hour
69	ENCFF949LLY	data/encode_rna/ENCFF949LLY.bigWig	768	0.3	sum_sqrt	RNA:BE2C
70	ENCFF038WPL	data/encode_rna/ENCFF038WPL.bigWig	768	0.3	sum_sqrt	RNA:SK-N-SH
71	ENCFF142KMX	data/encode_rna/ENCFF142KMX.bigWig	768	0.3	sum_sqrt	RNA:Panc1
72	ENCFF378HTE	data/encode_rna/ENCFF378HTE.bigWig	768	0.3	sum_sqrt	RNA:PFSK-1
73	ENCFF450BGT	data/encode_rna/ENCFF450BGT.bigWig	768	0.3	sum_sqrt	RNA:U-87 MG
74	ENCFF222BDI	data/encode_rna/ENCFF222BDI.bigWig	768	0.3	sum_sqrt	RNA:H1
75	ENCFF516KYO	data/encode_rna/ENCFF516KYO.bigWig	768	0.3	sum_sqrt	RNA:K562 cytosolic fraction
76	ENCFF575YME	data/encode_rna/ENCFF575YME.bigWig	768	0.3	sum_sqrt	RNA:A549
77	ENCFF735EPI	data/encode_rna/ENCFF735EPI.bigWig	768	0.3	sum_sqrt	RNA:AG04450
78	ENCFF829TKX	data/encode_rna/ENCFF829TKX.bigWig	768	0.3	sum_sqrt	RNA:BJ
79	ENCFF914IXY	data/encode_rna/ENCFF914IXY.bigWig	768	0.3	sum_sqrt	RNA:GM12878
80	ENCFF696CDU	data/encode_rna/ENCFF696CDU.bigWig	768	0.3	sum_sqrt	RNA:GM12878 cytosolic fraction
81	ENCFF501KFP	data/encode_rna/ENCFF501KFP.bigWig	768	0.3	sum_sqrt	RNA:H1
82	ENCFF729MSA	data/encode_rna/ENCFF729MSA.bigWig	768	0.3	sum_sqrt	RNA:H1 cytosolic fraction
83	ENCFF587OLO	data/encode_rna/ENCFF587OLO.bigWig	768	0.3	sum_sqrt	RNA:H1 nuclear fraction
84	ENCFF888MQS	data/encode_rna/ENCFF888MQS.bigWig	768	0.3	sum_sqrt	RNA:mammary epithelial cell female
85	ENCFF049VPK	data/encode_rna/ENCFF049VPK.bigWig	768	0.3	sum_sqrt	RNA:skeletal muscle myoblast
86	ENCFF005LKD	data/encode_rna/ENCFF005LKD.bigWig	768	0.3	sum_sqrt	RNA:endothelial cell of umbilical vein male newborn
87	ENCFF032IMA	data/encode_rna/ENCFF032IMA.bigWig	768	0.3	sum_sqrt	RNA:endothelial cell of umbilical vein cytosolic fraction male newborn
88	ENCFF804BGA	data/encode_rna/ENCFF804BGA.bigWig	768	0.3	sum_sqrt	RNA:endothelial cell of umbilical vein nuclear fraction male newborn
89	ENCFF431NUC	data/encode_rna/ENCFF431NUC.bigWig	768	0.3	sum_sqrt	RNA:HepG2 nuclear fraction
90	ENCFF065PJM	data/encode_rna/ENCFF065PJM.bigWig	768	0.3	sum_sqrt	RNA:HepG2
91	ENCFF518DFP	data/encode_rna/ENCFF518DFP.bigWig	768	0.3	sum_sqrt	RNA:HepG2 cytosolic fraction
92	ENCFF119ONM	data/encode_rna/ENCFF119ONM.bigWig	768	0.3	sum_sqrt	RNA:K562
93	ENCFF217JSG	data/encode_rna/ENCFF217JSG.bigWig	768	0.3	sum_sqrt	RNA:keratinocyte nuclear fraction female
94	ENCFF226FBQ	data/encode_rna/ENCFF226FBQ.bigWig	768	0.3	sum_sqrt	RNA:keratinocyte cytosolic fraction female
95	ENCFF703WGS	data/encode_rna/ENCFF703WGS.bigWig	768	0.3	sum_sqrt	RNA:keratinocyte female
96	ENCFF664JII	data/encode_rna/ENCFF664JII.bigWig	768	0.3	sum_sqrt	RNA:fibroblast of lung male adult (45 years)
97	ENCFF217KTR	data/encode_rna/ENCFF217KTR.bigWig	768	0.3	sum_sqrt	RNA:SK-N-SH treated with 6 uM all-trans-retinoic acid for 48 hours
98	ENCFF983FMY	data/encode_rna/ENCFF983FMY.bigWig	768	0.3	sum_sqrt	RNA:GM12878 nuclear fraction
99	ENCFF425GMM	data/encode_rna/ENCFF425GMM.bigWig	768	0.3	sum_sqrt	RNA:HeLa-S3 cytosolic fraction
100	ENCFF515VVS	data/encode_rna/ENCFF515VVS.bigWig	768	0.3	sum_sqrt	RNA:HeLa-S3 nuclear fraction
101	ENCFF708PAF	data/encode_rna/ENCFF708PAF.bigWig	768	0.3	sum_sqrt	RNA:HeLa-S3
102	ENCFF669RVI	data/encode_rna/ENCFF669RVI.bigWig	768	0.3	sum_sqrt	RNA:K562 nuclear fraction
103	ENCFF795XIC	data/encode_rna/ENCFF795XIC.bigWig	768	0.3	sum_sqrt	RNA:MCF-7
104	ENCFF124AUH	data/encode_rna/ENCFF124AUH.bigWig	768	0.3	sum_sqrt	RNA:K562 chromatin fraction
105	ENCFF886LMB	data/encode_rna/ENCFF886LMB.bigWig	768	0.3	sum_sqrt	RNA:K562 nucleolus fraction
106	ENCFF246QLC	data/encode_rna/ENCFF246QLC.bigWig	768	0.3	sum_sqrt	RNA:K562 nucleoplasmic fraction
107	ENCFF087WJT	data/encode_rna/ENCFF087WJT.bigWig	768	0.3	sum_sqrt	RNA:IMR-90
108	ENCFF717ESE	data/encode_rna/ENCFF717ESE.bigWig	768	0.3	sum_sqrt	RNA:A549 cytosolic fraction
109	ENCFF771QOV	data/encode_rna/ENCFF771QOV.bigWig	768	0.3	sum_sqrt	RNA:A549 nuclear fraction
110	ENCFF096YGQ	data/encode_rna/ENCFF096YGQ.bigWig	768	0.3	sum_sqrt	RNA:IMR-90 cytosolic fraction
111	ENCFF229AJQ	data/encode_rna/ENCFF229AJQ.bigWig	768	0.3	sum_sqrt	RNA:MCF-7 nuclear fraction
112	ENCFF236YOT	data/encode_rna/ENCFF236YOT.bigWig	768	0.3	sum_sqrt	RNA:IMR-90 nuclear fraction
113	ENCFF705NPF	data/encode_rna/ENCFF705NPF.bigWig	768	0.3	sum_sqrt	RNA:IMR-90
114	ENCFF031HEW	data/encode_rna/ENCFF031HEW.bigWig	768	0.3	sum_sqrt	RNA:SK-N-SH cytosolic fraction
115	ENCFF256CAM	data/encode_rna/ENCFF256CAM.bigWig	768	0.3	sum_sqrt	RNA:SK-N-SH nuclear fraction
116	ENCFF601EJS	data/encode_rna/ENCFF601EJS.bigWig	768	0.3	sum_sqrt	RNA:SK-N-SH
117	ENCFF297JKU	data/encode_rna/ENCFF297JKU.bigWig	768	0.3	sum_sqrt	RNA:MCF-7 cytosolic fraction
118	ENCFF252DFZ	data/encode_rna/ENCFF252DFZ.bigWig	768	0.3	sum_sqrt	RNA:B cell female adult (27 years) and female adult (43 years)
119	ENCFF779FMR	data/encode_rna/ENCFF779FMR.bigWig	768	0.3	sum_sqrt	RNA:placental pericyte female newborn and male newborn
120	ENCFF653TAB	data/encode_rna/ENCFF653TAB.bigWig	768	0.3	sum_sqrt	RNA:mesenchymal stem cell of adipose female adult (37 years) and female adult (42 years)
121	ENCFF841GMC	data/encode_rna/ENCFF841GMC.bigWig	768	0.3	sum_sqrt	RNA:hematopoietic multipotent progenitor cell
122	ENCFF798NEI	data/encode_rna/ENCFF798NEI.bigWig	768	0.3	sum_sqrt	RNA:hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)
123	ENCFF023YXV	data/encode_rna/ENCFF023YXV.bigWig	768	0.3	sum_sqrt	RNA:CD14-positive monocyte female
124	ENCFF359MTP	data/encode_rna/ENCFF359MTP.bigWig	768	0.3	sum_sqrt	RNA:mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)
125	ENCFF314QIG	data/encode_rna/ENCFF314QIG.bigWig	768	0.3	sum_sqrt	RNA:articular chondrocyte of knee joint female adult (56 years) and male adult (64 years)
126	ENCFF953CRN	data/encode_rna/ENCFF953CRN.bigWig	768	0.3	sum_sqrt	RNA:osteoblast female adult (56 years) and male adult (62 years)
127	ENCFF143TXA	data/encode_rna/ENCFF143TXA.bigWig	768	0.3	sum_sqrt	RNA:vein endothelial cell male adult (48 years) and male adult (52 years)
128	ENCFF343FWG	data/encode_rna/ENCFF343FWG.bigWig	768	0.3	sum_sqrt	RNA:fibroblast of dermis female adult (44 years) and female adult (55 years)
129	ENCFF804YRV	data/encode_rna/ENCFF804YRV.bigWig	768	0.3	sum_sqrt	RNA:skeletal muscle satellite cell female adult (64 years) and male adult (21 years)
130	ENCFF256ZZS	data/encode_rna/ENCFF256ZZS.bigWig	768	0.3	sum_sqrt	RNA:fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)
131	ENCFF805HMR	data/encode_rna/ENCFF805HMR.bigWig	768	0.3	sum_sqrt	RNA:thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)
132	ENCFF649CUP	data/encode_rna/ENCFF649CUP.bigWig	768	0.3	sum_sqrt	RNA:fibroblast of villous mesenchyme female newborn and male newborn
133	ENCFF233TOO	data/encode_rna/ENCFF233TOO.bigWig	768	0.3	sum_sqrt	RNA:subcutaneous preadipocyte female adult (62 years) and male adult (65 years)
134	ENCFF096YBH	data/encode_rna/ENCFF096YBH.bigWig	768	0.3	sum_sqrt	RNA:mammary epithelial cell female adult (23 years)
135	ENCFF492ICA	data/encode_rna/ENCFF492ICA.bigWig	768	0.3	sum_sqrt	RNA:mesenchymal stem cell of Wharton's jelly female newborn and male newborn
136	ENCFF591NKN	data/encode_rna/ENCFF591NKN.bigWig	768	0.3	sum_sqrt	RNA:placental epithelial cell female newborn and male newborn
137	ENCFF723WDG	data/encode_rna/ENCFF723WDG.bigWig	768	0.3	sum_sqrt	RNA:melanocyte of skin male child (1 year) and male child (3 years)
138	ENCFF230ZSG	data/encode_rna/ENCFF230ZSG.bigWig	768	0.3	sum_sqrt	RNA:melanocyte of skin female adult (52 years) and male adult (55 years)
139	ENCFF151XTV	data/encode_rna/ENCFF151XTV.bigWig	768	0.3	sum_sqrt	RNA:mononuclear cell female adult (52 years)
140	ENCFF853JVS	data/encode_rna/ENCFF853JVS.bigWig	768	0.3	sum_sqrt	RNA:GM12878 nucleolus fraction
141	ENCFF982YRZ	data/encode_rna/ENCFF982YRZ.bigWig	768	0.3	sum_sqrt	RNA:K562 treated with Interferon gamma for 6 hours
142	ENCFF594PZM	data/encode_rna/ENCFF594PZM.bigWig	768	0.3	sum_sqrt	RNA:K562 treated with Interferon gamma for 30 minutes
143	ENCFF722OTS	data/encode_rna/ENCFF722OTS.bigWig	768	0.3	sum_sqrt	RNA:K562 treated with interferon alpha for 6 hours
144	ENCFF311UQI	data/encode_rna/ENCFF311UQI.bigWig	768	0.3	sum_sqrt	RNA:K562 treated with interferon alpha for 30 minutes
145	ENCFF987SCM	data/encode_rna/ENCFF987SCM.bigWig	768	0.3	sum_sqrt	RNA:GM12891
146	ENCFF659BXA	data/encode_rna/ENCFF659BXA.bigWig	768	0.3	sum_sqrt	RNA:GM12892
147	ENCFF069PST	data/encode_rna/ENCFF069PST.bigWig	768	0.3	sum_sqrt	RNA:HCT116
148	ENCFF106FBY	data/encode_rna/ENCFF106FBY.bigWig	768	0.3	sum_sqrt	RNA:skeletal muscle myoblast
149	ENCFF543YFY	data/encode_rna/ENCFF543YFY.bigWig	768	0.3	sum_sqrt	RNA:myocyte originated from LHCN-M2
150	ENCFF905ISC	data/encode_rna/ENCFF905ISC.bigWig	768	0.3	sum_sqrt	RNA:LHCN-M2
151	ENCFF808PHI	data/encode_rna/ENCFF808PHI.bigWig	768	0.3	sum_sqrt	RNA:MCF-7
152	ENCFF036JNR	data/encode_rna/ENCFF036JNR.bigWig	768	0.3	sum_sqrt	RNA:fibroblast of lung
153	ENCFF684NXV	data/encode_rna/ENCFF684NXV.bigWig	768	0.3	sum_sqrt	RNA:GM12878
154	ENCFF860AKE	data/encode_rna/ENCFF860AKE.bigWig	768	0.3	sum_sqrt	RNA:K562
155	ENCFF687EZU	data/encode_rna/ENCFF687EZU.bigWig	768	0.3	sum_sqrt	RNA:H1
156	ENCFF587FSZ	data/encode_rna/ENCFF587FSZ.bigWig	768	0.3	sum_sqrt	RNA:HeLa-S3
157	ENCFF995HXY	data/encode_rna/ENCFF995HXY.bigWig	768	0.3	sum_sqrt	RNA:HepG2
158	ENCFF618GYZ	data/encode_rna/ENCFF618GYZ.bigWig	768	0.3	sum_sqrt	RNA:endothelial cell of umbilical vein newborn
159	ENCFF609GRY	data/encode_rna/ENCFF609GRY.bigWig	768	0.3	sum_sqrt	RNA:keratinocyte female
160	ENCFF155OWV	data/encode_rna/ENCFF155OWV.bigWig	768	0.3	sum_sqrt	RNA:OCI-LY7
161	ENCFF227YIR	data/encode_rna/ENCFF227YIR.bigWig	768	0.3	sum_sqrt	RNA:pancreas tissue female adult (30 years)
162	ENCFF775NPV	data/encode_rna/ENCFF775NPV.bigWig	768	0.3	sum_sqrt	RNA:endodermal cell originated from HUES64
163	ENCFF357VZF	data/encode_rna/ENCFF357VZF.bigWig	768	0.3	sum_sqrt	RNA:adrenal gland tissue female adult (47 years)
164	ENCFF496WON	data/encode_rna/ENCFF496WON.bigWig	768	0.3	sum_sqrt	RNA:K562 treated with 100 nM GSK J4 for 4 hours
165	ENCFF028ZKC	data/encode_rna/ENCFF028ZKC.bigWig	768	0.3	sum_sqrt	RNA:CD8-positive, alpha-beta memory T cell
166	ENCFF719AYC	data/encode_rna/ENCFF719AYC.bigWig	768	0.3	sum_sqrt	RNA:left renal cortex interstitium tissue male embryo (105 days)
167	ENCFF952CKD	data/encode_rna/ENCFF952CKD.bigWig	768	0.3	sum_sqrt	RNA:Right ventricle myocardium inferior tissue male adult (60 years)
168	ENCFF233HJC	data/encode_rna/ENCFF233HJC.bigWig	768	0.3	sum_sqrt	RNA:middle frontal area 46 tissue female adult (90 or above years)
169	ENCFF626VIR	data/encode_rna/ENCFF626VIR.bigWig	768	0.3	sum_sqrt	RNA:HepG2 insoluble cytoplasmic fraction
170	ENCFF401YXF	data/encode_rna/ENCFF401YXF.bigWig	768	0.3	sum_sqrt	RNA:mammary epithelial cell female
171	ENCFF354WKE	data/encode_rna/ENCFF354WKE.bigWig	768	0.3	sum_sqrt	RNA:fibroblast of skin of scalp male embryo (97 days)
172	ENCFF044XSJ	data/encode_rna/ENCFF044XSJ.bigWig	768	0.3	sum_sqrt	RNA:bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days
173	ENCFF796PND	data/encode_rna/ENCFF796PND.bigWig	768	0.3	sum_sqrt	RNA:thyroid gland tissue male adult (54 years)
174	ENCFF408WKS	data/encode_rna/ENCFF408WKS.bigWig	768	0.3	sum_sqrt	RNA:muscle of back tissue female embryo (115 days)
175	ENCFF123MLK	data/encode_rna/ENCFF123MLK.bigWig	768	0.3	sum_sqrt	RNA:left renal pelvis tissue male embryo (105 days)
176	ENCFF182JIC	data/encode_rna/ENCFF182JIC.bigWig	768	0.3	sum_sqrt	RNA:testis tissue male adult (37 years)
177	ENCFF579IBH	data/encode_rna/ENCFF579IBH.bigWig	768	0.3	sum_sqrt	RNA:CD4-positive, alpha-beta T cell male adult (20 years)
178	ENCFF487XUM	data/encode_rna/ENCFF487XUM.bigWig	768	0.3	sum_sqrt	RNA:gastroesophageal sphincter tissue female adult (51 years)
179	ENCFF475JUK	data/encode_rna/ENCFF475JUK.bigWig	768	0.3	sum_sqrt	RNA:with mild cognitive impairment; middle frontal area 46 tissue female adult (90 or above years)
180	ENCFF438BUG	data/encode_rna/ENCFF438BUG.bigWig	768	0.3	sum_sqrt	RNA:with multiple sclerosis; naive thymus-derived CD4-positive, alpha-beta T cell
181	ENCFF933QBC	data/encode_rna/ENCFF933QBC.bigWig	768	0.3	sum_sqrt	RNA:K562 membrane fraction
182	ENCFF008CRB	data/encode_rna/ENCFF008CRB.bigWig	768	0.8734908657664815	sum_sqrt	RNA:small intestine tissue female adult (30 years)
183	ENCFF384MPW	data/encode_rna/ENCFF384MPW.bigWig	768	0.3	sum_sqrt	RNA:with multiple sclerosis; immature natural killer cell
184	ENCFF444LLL	data/encode_rna/ENCFF444LLL.bigWig	768	0.3	sum_sqrt	RNA:K562 nuclear fraction
185	ENCFF411VWO	data/encode_rna/ENCFF411VWO.bigWig	768	0.3	sum_sqrt	RNA:ovary tissue female adult (51 years)
186	ENCFF392VPC	data/encode_rna/ENCFF392VPC.bigWig	768	0.3	sum_sqrt	RNA:with multiple sclerosis; naive thymus-derived CD4-positive, alpha-beta T cell
187	ENCFF674RUW	data/encode_rna/ENCFF674RUW.bigWig	768	0.3	sum_sqrt	RNA:neurosphere embryo (15 weeks) originated from ganglionic eminence
188	ENCFF636VGI	data/encode_rna/ENCFF636VGI.bigWig	768	0.3	sum_sqrt	RNA:H1
189	ENCFF789CEJ	data/encode_rna/ENCFF789CEJ.bigWig	768	0.3	sum_sqrt	RNA:right lung tissue male embryo (105 days)
190	ENCFF905NZB	data/encode_rna/ENCFF905NZB.bigWig	768	0.3	sum_sqrt	RNA:lung tissue female adult (47 years)
191	ENCFF096UCI	data/encode_rna/ENCFF096UCI.bigWig	768	0.3	sum_sqrt	RNA:ovary tissue female adult (47 years)
